
Chapter-1-page-1.html
python              : n. 丹舌,大蟒,巨蟒
release             : n. 释放, 让渡, 发行 vt. 释放, 让与, 准予发表, 发射
instead             : adv. 代替, 反而
discussion          : n. 讨论 v. 讨论,商议

Chapter-1-page-3.html
different           : adj. 不同的,与众不同的
library             : n. 图书馆, 藏书
version             : n. 版本, 说法，翻译
decorator           : n. 房屋装饰人 adj. 适宜于室内装饰用的
sample              : n. 样品,标本 vt. 采样,品尝 adj. 样例的
server              : n. 服伺者,服勤者,伺候者
common              : adj. 共同的, 平常的, 普通的 n. 平民, 普通, 公地, 公园
dictionary          : n. 词典, 字典, 辞典
program             : n. 节目(单),程序,计划 vt. 规划,拟定计划,制作节目
level               : n. 水平,等级,标准,层次 adj. 平坦的,齐平的,稳定的,合理的,满满的 vt. 压平,使同等,瞄准,夷为平地,推翻, 指责 vi. 趋向平稳, 瞄准, 诚恳待人, 使平等
raise               : n. 上升, 增高; 高地 vt. 升起, 举起, 饲养; 提出, 引起
service             : n. 服务, 公务部门, 服役, 发球, 发球方式 vt. 维护, 保养
simply              : adv.&amp;adj. 简单地,仅仅
error               : n. 错误, 过失
programming         : n. 程序设计, 编程 动词program的现在分词
index               : n.索引； <数>指数； 指示； 标志 vt.给…编索引； 把…编入索引； [经济学]按生活指数调整（工资、价格等） vi.[机械学]转位
exception           : n. 除外,例外
built               : vbl.build的过去式和过去分词
statement           : n. 声明, 陈述
recipe              : n. 食谱,处方,秘诀

Chapter-1-page-4.html
information         : n. 信息, 情报, 新闻, 资料, 询问
title               : n. 头衔,名称,标题,所有权,资格,冠军 vt. 赋予称号,加标题于 adj. 标题的
support             : n. 支持, 援助, 供养 vt. 支援, 帮助, 支持
sequence            : n. 序列, 一系列, 顺序, 一组镜头 vt. 安排顺序
model               : n. 模型, 模范, 模特儿 adj. 模范的, 作模型用的 v. 做模型, 塑造, 模仿
language            : n. 语言
multiple            : adj. 许多,多种多样的 n. 倍数,并联
reference           : n. 参考, 出处, 参照 n. 推荐人, 推荐函 vt. 提供参考
directory           : n. 目录,工商名录,指南 [计算机] 目录 adj. 给予指导的
memory              : n. 记忆,内存,回忆
double              : n. 两倍,复制品,替身,双重角色的演员,反转,双人房 adj. 两倍的,双重的,骗人的,加量的 adv. 两倍地,双人地,翻来覆去地,对折地 vt. 使加倍,对折,握紧,做替身 vi. 加倍,转身,兼任,替代演出
variable            : adj. 可变的,易变的 n. 变量, 易变的东西
single              : adj. 单身的,单纯的,单一的 n. 单程票,单曲,单人房,单身者 vt. 单独挑出 vi. (棒球)作一垒打
access              : n.入口，出口； 接近，进入； 增长； 爆发 vt.接近，进入； 使用，接近，获取
state               : n. 州, 国, 情形 adj. 国家的, 州的, 正式的 vt. 说, 陈述, 声明, 规定
system              : n. 系统,体系,制度,体制
optional            : adj. 可以任选的,非强制的
client              : n.顾客； 当事人； 诉讼委托人； [计算机]客户端
element             : n. 成分,要素,元素,基本原理,(复数)恶劣天气
overflow            : n. 溢值,超值,泛滥 v. 泛滥,溢出,充溢 [计算机] 溢出

Chapter-1-page-5.html
change              : n. 变化, 零钱 v. 改变
writing             : n. 著述, 笔迹, 作品 vbl. 写, 著述
database            : n. 数据库
package             : n. 包裹,整批交易  vt. 把...打包,把...进行推销
process             : n.过程； 工序； 做事方法； 工艺流程 vt.加工； 处理； 审阅； 审核 vi.列队行进 adj.经过特殊加工（或处理）的
yield               : n. 生产量, 投资收益 v. 生产, 屈服, 投降, 弯下去, 凹下去
possible            : adj. 可能的
defined             :adj. 轮廓分明的;外形清晰的
implementation      : n.执行
filename            : 文件名
match               : n. 比赛, 火柴, 对手, 般配的人, 配偶 v. 使...相配, 与...竞争, 相配
parent              : n. 父母,根源 vt. &vi. 抚养,产生
tuple               : n. 元组，数组，重数
shown               : show的过去分词
found               : vt. 创立，建立；创办 v. 找到（find的过去分词）
extension           : n. 延长,扩充,范围,分机号码
standard            : n.标准，规格； 旗，军旗； 度量衡标准； 直立支柱 adj.标准的，合格的； 普遍的，一般的； 公认为优秀的
thread              : n. 线,纤维,思路,线索, 螺纹 vt. 穿线于,穿过,成线, 遍布 vi. 小心地通过, 蜿蜒前进, 滴下成丝状
useful              : adj. 有用的
message             : n. 消息,信息,要点 vt. &vi. 传递信息, 通讯

Chapter-1-page-6.html
socket              : n. 插座,插口, 穴孔 vt. 装上或插入插座
local               : adj. 地方性的,当地的,局部的 [计算机] 局部的
search              : n. 搜寻, 探究 v. 搜寻, 探求, 调查
command             : n.命令，指挥； 司令部，指挥部； [计算机]指令； 控制力 vt.指挥，控制，命令； 命令； 应得，值得 vi.给出命令； 命令，指令 adj.指挥的，根据命令（或要求）而作的
structure           : n. 结构,构造,建筑物 v. 构成,建立,建造
template            : n. 模板,样板
context             : n. 上下文, 环境,背景
based               : v.立基于,基于...,以...为基础,vbl.建立,装置
delete              : vt. 删除
field               : n. 领域；牧场；旷野；战场；运动场 vi. 担任场外队员 adj. 扫描场；田赛的；野生的 vt. 把暴晒于场上；使上场；(通常成功地)回答，处理(问题)
table               : n. 桌子, 平地层, 石板, 表格 vt. 搁置, 嵌合, 制表 adj. 桌子的
topic               : n. 题目, 话题, 主题
expression          : n. 表达,表示,表现,表情,措辞,词句
syntax              : n. 句法
property            : n. 财产; 性质; 道具
source              : n. 来源
range               : n.范围； 射程； 类别； （山脉，房屋等的）排列 vi.搜索； 变化； 延伸； 漫游 vt.排列； （按一定位置或顺序）排序； 把…分类； 徘徊 adj.牧场的，放牧区的
recent              : adj. 近来的, 新近的
check               : vt.检查，核对； 制止，抑制； 在…上打勾 vi.核实，查核； 中止； 打勾； [象棋]将一军 n.<美>支票； 制止，抑制； 检验，核对
pattern             : n. 图案, 式样, 典范 v. 以图案装饰; 仿造, 模仿

Chapter-1-page-7.html
current             : n. (水、气、电)流, 趋势 adj. 流通的, 现在的, 最近的
keyword             : n. 关键字
binary              : adj. 二进位的,二元的 n. 二进制,二元
connection          : n. 联系,关系,连接,亲戚
integer             : n. 完整的事物,整体,整数 [计算机] 整数
append              : v. 附加,添加,悬挂 n.[计算机] DOS 命令建立数据文件的子目录搜索路经
logging             : n. 砍伐 动词log的现在分词
share               : n. 部份,股份,分担,犁头 vt. 分享,共有,分配 vi. 分享
debug               : v.调试，驱除（某处的)害虫，排除障碍，纠正...的错误，寻出并拆除...内的窃听器
improvement         : n. 改进, 改善
required            : adj. 必需的
generator           : n. 发电机, 发生器
wrapper             : n. (饺子)皮,包装用品
install             : v. 安装,安置,使...就职 n.[计算机] 安装,DOS命令 : 装入结束且驻留软件
perform             : v. 执行, 表演, 做
define              : vt. 定义, 解释
shape               : n. 形状,形式,定形,身材 vt. 定形,使...成形,塑造
descriptor          : n. 描述符
application         : n.适用，应用，运用； 申请，请求，申请表格； 勤勉，用功； 敷用，敷用药
available           : adj. 可用的,可得到的,有用的，有效的

Chapter-1-page-8.html
response            : n. 反应, 响应; 回答
extra               : adj. 额外的 adv. 特别地 n. 额外的事物，另外收费的
include             : v. 包括,包含,连...在内 [计算机] 包括
random              : n. 随意,任意 adj. 任意的,随便的,胡乱的 adv. 随机地
specific            : adj. 特殊的, 明确的, 具有特效的 n. 特效药, 特性, 详情
address             :n. n.地址； 通信处； 演说； 称呼
special             : n. 专辑,专车,特色菜,特价,特刊 adj. 特别的,专门的
returned            : adj.被送回的,归来的
algorithm           : n. 算法
exchange            : n. 交换,交换物,汇兑,交易所 vt. &vi. 交换,交易,兑换
operator            : n. 操作员,管理者,技工,报务员
cache               : n. 电脑高速缓冲存储器；贮存物；隐藏处 vt. 隐藏；窖藏 vi. 躲藏
calling             : n. 职业, 行业, 邀请 召集
discuss             : vt. 讨论
static              : n. 静电, 静电干扰, 噪声, 阻碍, 抨击 adj. 静态的,静电的,固态的
similar             : adj. 相似的,类似的,相同,一样
price               : n. 价格,代价,价值 vt. 定格,标价,比较价格
related             : adj. 有关系的,有关联的 v. 讲,有关系 vbl. 讲,有关系
second              :n. vt. 支持 n. 第二,秒 adj. 第二的,次等的,另一个的
general             : n. 一般,将军,大体 adj. 一般的,普遍的 v. 指挥,作...将军

Chapter-1-page-9.html
float               : n. 漂流物,装有轮子的展台或平板车,企业的日常零钱 vt. 使漂浮,提出,开办新公司,洽谈 vi. 漂浮,游荡,飘
something           : pron.某事(物), 某东西
build               : vt. &vi. 建造，创建，开发，逐渐增强 n. 体格，身材
queue               : n. 行列,长队 v. 排队 vi. 排长队
lists               : n.竞技场
consider            : vt. 考虑, 思考, 认为
important           : adj. 重要的,影响很大的
length              : n. 长度,篇幅
event               : n. 大事, 事件, 项目, 活动
apply               : vt. 应用, 申请; 涂 vt. 使专心从事 vi.申请; 有关联
implement           : n. 工具, 器具; 当工具的物品 vt. 实施, 执行; 向...提供工具(或手段)
interpreter         : n. 译员,口译者，解释程序
feature             : n. 特征, 容貌 vt. 以...为特色 vi. 起重要作用
means               : n. 方法,手段，折中点，物质财富
running             : n. 跑步;经营,管理 adj. 奔跑的;流动的;运转中的 adv. 连续地
getting             :prep. 同nearly
network             : n. 网络,系统,广播网 vt. 用网覆盖,联网 vi. 加入网络
provide             : vi. 供给, 提供 vt. 提供; 规定; 准备
normal              : adj. 正常的,正规的 n. 常态, 标准
signature           : n. 签署,书帖,有特征的符号

Chapter-1-page-10.html
handle              : n. 柄,把手 vt. 买卖,处理,操作 vi. 驾驭
working             : adj. 工人的, 劳动的
making              : n. 制成 动词make的现在分词
actually            : adv. 实际上，事实上 adv. 居然，竟然（表示惊讶）
original            : adj. 最初的, 原始的; 有独创性的, 原版的 n. 原件, 原稿; 有独创性的人, 怪人
reading             : adj. 阅读的 n. 阅读
directly            : adv. 直接地(立即,完全)
parse               : v.&amp;n. 从语法上分析
count               : v. 计算, 视为, 依赖 n. 计数
character           : n. 个性, 品质; 字符; 人物; 名誉; 地位
section             : n. 零件,部分,章节,区域,部门,路段,断面 vt. 划分,切开 vi. 划分
content             : n. 内容, 目录, 含量 adj. 满足的, 满意的 vt. 使...满足, 使...安心
stock               : n.股份，股票； 库存； 树干； 家畜 adj.常备的，存货的； 陈旧的 vt.提供货物； 备有 vi.出新芽； 囤积
setting             : n.镶嵌； 环境； 装置； （某事、戏剧、小说等的）背景 v.放( set的现在分词)； 安插； 树立； 安排
custom              : n. 习惯, 风俗, 海关
underlying          : adj. 在下面的, 基本的, 隐含的
various             : adj. 各种各样的
lambda              : n. 兰布达(Λ, λ); 希腊字母的第11个字，相当于“I”
draft               : n. 草稿,草图,汇票，徵兵 vt. 起草,征兵,选秀 adj. 酝酿中的
interface           : n. 界面,接触面 vt. 连接,作接口 vi. 连接

Chapter-2-page-1.html
science             : n. 科学
written             : adj. 书面的, 写成文字的 vbl. 写, 著述
window              : n. 窗户
behavior            : n. 行为,举止
definition          : n. 定义, 阐释，清晰度
close               : n. 完结, 结论 adj. 靠近的,亲近的，几乎，密切的, 势均力敌的 vt. 关,结束,靠近 vi. 关，停业, 搏斗 adv. 紧挨着, 紧紧地
advanced            : adj. 高级的, 先进的
series              : n. 系列，连续
automatically       : adj. 不经思索的 adv. 自动地
parameter           : n. 参数,参量,决定因素
operation           : n. 手术, 行动，活动, 操作
empty               : adj. 空的,空虚的,空腹的 n. 空物 vt. 使...空 vi. 变空,流入
matrix              : n. 母体,子宫 细胞 脉石,字母 n.矩阵
added               : adj.更多的,附加的,额外的
person              : n. 人
certain             : adj. 一定的 pron. 某几个,某些  肯定的,无疑的,必然发生的
probably            : adv. 大概,或许
image               : n. 图像,影像,肖像,想像,形象 vt. 想像,描绘,反映
safari              : n. 旅行, 旅行队, 奢侈的旅行
basic               : adj.基本的； [化学]碱性的； [地质学]基性的； 首要的 n.基础，基本； 基本原则，基本原理，基本规律； 要素； 基础训练

Chapter-2-page-2.html
control             : n. 克制,控制,管制,操作装置 vt. 控制,掌管,支配
parser              : n. 语法分析器
design              : vt.& vi.设计； 绘制 vt.设计； 计划； 企图； 决意（做） n.设计； 图案； 结构； 计划 vi.设计略图； （为工艺品、装潢项目等）设计； 当设计师； 构思
alternative         : adj. 两者择一的; 供选择的; 非主流的 n. 替换物, 取舍
flask               : n. 细颈瓶, 烧瓶, 小水瓶
handler             : n. 处理者，处理器 n. 畜禽的训练者 n. 拳击教练，（明星等的）经理人
together            : adv. 一起，共同，相结合，同时地，协调地 adj. 头脑清楚的，镇定的
development         : n. 发展,显影, 开发区, 开发
existing            : adj. 现存的,现有的 [计算机] 现有的
approach            : n. 接近; 途径, 方法 v. 靠近, 接近, 动手处理
usage               : n. 惯用法,使用,用法
inheritance         : n. 遗传,遗产,继承,继承物
allow               : vi. (for)考虑到,使可能 vt. 给予,承认,允许, 断定
regular             : adj. 有规律的,有规则的,整齐的,正规的
option              : n.选择（的自由）； 选项； 选择权； 选择能力 vt.得到或获准进行选择； 调动球员
alist               : adj.船向一边倾斜的 adv.船向一边倾斜地
iteration           : 迭代(法), 循环, 重复
split               : n. 劈开, 裂片, 裂口 adj. 分散的 v. 分离, 分开, 劈开
block               : n.块； 街区； <英>大楼，大厦； 障碍物，阻碍 vt.阻止； 阻塞； 限制
software            : n. 软件

Chapter-2-page-3.html
masked              : adj. 戴面具的,  蒙着脸的, 隐蔽的 动词mask的过去式和过去分词
environment         : n. 环境,外界
convert             : v. 使转变, 使...改变信仰, 倒置 n. 皈依者, 改宗者
figure              : n. 图形, 数字, 形状; 人物, 外形, 体型 v. 演算, 认为, 领会到
callable            : adj. 可赎回的, 可随时支取的, 可召唤的
whether             : conj.&amp;adv. 是否
complex             : adj. 复杂的 n. 复合体
group               : n. 团体,组,团 vt. &vi. 聚合,成群 [计算机] 成组
select              : adj. 精选的 n. 被挑选出来的人或物 v. 选择 vi. 选择,挑选,选拔 vt. 选择,挑选
replace             : vt. 取代,更换
further             : adj. 更远的 adv. 此外, 进一步地 v. 促进, 推动 vt. 促进
filter              : n. 筛选,滤波器,过滤器,滤色镜 vt. &vi. 过滤,渗透 [计算机] 过滤
setup               : n. 装备, 组织, 计划
provided            : conj. 假如,若是 adj. 预备好的,由...供给的
additional          : adj. 附加的, 另外的
resulting           : adj.作为结果的,因而发生的
suppose             : vt.假定； 猜想，推测； 认为； 让（用于祈祷语气） vi.想象，猜想
buffer              : n. 缓冲,缓冲区 vt. 减轻,缓冲
admin               : abbr. 管理，行政（=administration）
remove              : n. 间距, 移动 vt. 除去,开除, 移动, 取下, 拿走 vi. 迁徙,离开,搬迁

Chapter-2-page-4.html
countdown           : n. 倒数计秒
style               : n. 风格,时尚,字体 vt. 称呼,设计
inside              : adj. 里面的 adv. 在里面 n. 内部 prep. 在...里面
execute             : vt. 执行,处决，实行,完成 [计算机] 执行
performance         : n.表演； 演技； 表现； 执行
avoid               : v. 避免 vt. 避免,逃避
collection          : n. 收藏品,收集物,小组,集合
particular          : n. 个别项目, 详细说明 adj. 特别的, 独有的; 挑剔的; 详细的
protocol            : n. 草案, 协议,礼仪 vt 拟定议定书
session             : n.开会，会议；（法庭的）开庭； 会期，学期； （进行某活动连续的）一段时间
callback            : n. 召回，回呼
accept              : vi.承认； 同意； 承兑 vt.接受； 承认； 承担； 承兑
location            : n. 地点,位置
month               : n. 月
otherwise           : adv. 否则,不同地,在不同方面 pron. 其他 adj. 不同的
pickle              : n. 腌汁, 泡菜 v. 腌, 泡
action              : n. 起诉，行为，作用，情节,活动
least               : adj. 最少的,最小的 n.&amp;adv. 最少,最小
nested              : adj.嵌套的
previous            : adj. 在...之前, 先, 前, 以前的

Chapter-2-page-5.html
divide              : vt.& vi.分； 划分； 分离； （使）产生分歧 n.分水岭，分界线； 分配
notice              : n. 注意,布告,通知 vt. 注意,通知,留心
bound               : n. 跳跃,界限,范围 adj. 必定的，受约束的,装订的,有义务的 vt. 跳跃前进，形成界限
rather              : adv. 宁可,宁愿,有些,相当,反而
functionality       : n. 功能（尤指软件、硬件、机械或设备的功能），功能性
record              : n. 记录,纪录,唱片 vt. 记录,(将声音等)录下，表明 adj. 关于
store               : n. 商店,贮藏,仓库 vt. 储存,贮藏,供给,保存 adj. 储备的 (在计算机里)存贮；记忆
project             : n. 工程,项目,计划,事业 v. 计划,设计,表达 v. 投射,放映,凸出
addition            : n. 增加,附加物,加,加法
frame               : n. 框,结构,骨架 v. 构成，把...框起来，陷害 adj. 木结构的
query               : n. 疑问,疑问号,质问 vt. 询问,表示怀疑
ordered             : adj. 有序的，整齐的 动词order的过去式和过去分词形式
generic             : adj.一般的,普通的,共有的，没有商标的 n.  无商标的药品
update              : vt. &vi. 更新,补充最新资料 n. 更新
global              : adj. 全球性的, 全局的
stream              : n. (人,车,气)流,水流,组 vt. 流出,飘动 vi. 流动,飘动,接踵而来
purpose             : n. 目的, 意图; 意志, 决心; 议题 vt. 打算, 决意
entire              : adj. 全部的,完整的，同性质的，纯正的，全面的
specify             : vt. 明确说明,叙述,指定,详细说明
register            : v. 记录, 登记, 注册, 挂号 n. 暂存器, 记录, 登记簿 n. (语)语域; 通风调节设备

Chapter-2-page-6.html
distance            : n. 距离, 远方, 路程 vt. 与 ... 保持距离, 把(对手)甩在后面 adj. 远程(教育)的
final               : adj. 最后的 决定了的 n. 决赛,期末考试
equivalent          : adj. 等价的, 相等的 n. 相等物
listing             : [计算机] 清单
looking             : adj.有...样子的,有...相貌的
separate            : n. 分开, 抽印本 adj. 分开的, 各自的, 单独的 v. 分开, 隔开, 分居
learn               : vt. 学习,获悉 vi. 了解,习得
inspect             : vt. 调查, 检阅 vi. 调查
break               : n. 休息,中断,破裂 v. 打破,弄破,弄坏
question            : n. 问题,询问,争论点 vt. 询问,怀疑 vi. 问问题
target              : n.（服务的）对象； 目标； （射击的）靶子； 目的 vt.瞄准； 把…作为攻击目标
public              : adj. 公开的,众所周知的,公众的 n. 公共场合,公众,同好者
issue               : n. 问题；流出；期号；发行物 vt. 发行，发布；发给；放出，排出 vi. 发行；流出；造成…结果；传下
generate            : vt. 产生,发生,引起 [计算机] 产生
engineering         : n. 工程(学),工程技术
manager             : n. 经理
company             : n. 同伴,客人,一群,连队,公司 vt. 陪伴 vi. 联合
technique           : n. 技术
matching            : adj. 匹配的, 相称的 动词match的现在分词
placement           : n. 方位,位置,找工作,安排

Chapter-2-page-7.html
token               : n. 表征, 记号, 特点, 纪念品, 代币, 代表人群 adj. 象征性的, 敷衍的
header              : n. 装盖者，割穗机，顶梁，集管 n.[体]头球，头先入水的跳水姿势 n.[计]页眉
polynomial          : n. 多项式 adj. 多项的
framework           : n. 结构, 框架, 参照标准, 体系
factor              : n. 因素,因子 vt. 把…因素包括进去 vi.作为因素
commit              : v. 委托(托付), 犯罪, 作...事, 承诺 [计算机] 委托
links               : n.高尔夫球场,沙丘;n.pl.link的复数,链接
raised              : adj. 凸起的, 浮雕的, 有凸起花纹的, 发酵的
configuration       : n. 结构,布局,形态,格式塔心理完形 [计算机] 配置
computer            : n. 计算机
abstract            : n. 摘要,抽象的东西 adj. 抽象的,理论的 vt. 移除,摘要,偷 vi. 做摘要
total               : adj.总计的（金额等）； 全部的； 完全的； 绝对的 n.总计，总数； 全体数量 vt.& vi.总计达，计算…的总数
prefix              : n. 前缀 vt. 加...作为前缀,置于前面 adj. 前缀的
counter             : n. 计算器,计算者,柜台  [计算机] 计数器 adj. 相反的  adv. 与…相反地  vt. 反对,反击  vi. 反对,反击
interactive         : adj. 相互作用的 [计算机] 交互的
applied             : adj. 应用的 v. 应用, 适用 vbl. 应用
unique              : adj. 独一无二的, 独特的, 稀罕的
execution           : n. 实行,完成,执行
representation      : n. 表示法,表现,陈述，答辩
passing             : n. 通过, 逝去 adj. 经过的, 短暂的, 及格的 adv. 非常 动词pass的现在分词

Chapter-2-page-8.html
display             : n. 显示,陈列,炫耀 vt. 显示,表现,夸示
trying              : vbl. 试验,尝试 adj. 难受的, 费劲的, 令人厌烦的
machine             : n.机器，机械； 机械般的人； 核心 vt.用机器制造，用机器加工 vi.被机器切削
status              : n. 地位, 身份, 情形, 状况
decode              : v. 解码, 译解 [计算机] 译码
enter               : vi. 进入,参加,开始,上台,进入角色 vt. 进入,报名,开始,加入,报价,提出 [计算机] 送入
pointer             : n. 指针，教鞭，（能指出猎物位置的）猎犬，暗示 Pointer: 指极星
introduction        : n. 介绍, 引进, 导论, 序言
internal            : adj. 国内的, 内在的，身体内部的
lower               : adj. 低的, 下级的, 下层的 vt. 降低, 跌落, 减弱, 贬低 vi. 皱眉, 降低, 阴沉, 变少 n. 皱眉, 下级, 阴沉的样子, 前兆
entry               : n. 进入,入口,登记,项目
partial             : adj. 部分的,偏袒的,偏爱的 n. 泛音
author              : n. 作者,创造者 vt. 创造,写作
distribution        : n. 分发, 分配, 散布, 分布
creation            : n. 创造, 创作
equal               : adj. 相等的,平等的,胜任的 n. 对手,匹敌,同辈 vt. 等于,比得上
choice              : adj. 上等的,精选的 n. 选择,挑选
reason              : n. 理由,原因,理智,理性 vt. 说服,总结 vi. 规劝,下判断
loader              : 
having              : n.所有,持有

Chapter-2-page-9.html
initial             : n. (词)首字母 adj. 开始的, 最初的, 字首的 vt. 签姓名的首字母于
password            : n. 口令，密码
faster              : adj.更快的,adv.更快地
private             : adj. 私人的，隐蔽的 n. 士兵，列兵
slice               : n. 薄的切片,一部份,锅铲 vt. 切成薄片,大幅降低
longer              : adj.比较久的 adv.比较久
render              : vt. 使成为, 提供, 报答, 着色; 执行, 实施 vi. 给予补偿 n. 交纳, 粉刷, 打底
prior               : adj. 更重要的, 较早的, 在先的 adv. 居先 n. 小修道院院长; 大修道院副院长
description         : n. 描写, 描述, 说明书, 作图 n. 类型
decimal             : adj. 十进位的,小数的 n. 小数
illustrate          : vt. 举例说明,作图解 vi. 举例
encode              : vt. 编码, 译码
compile             : v. 编译,编辑,编纂 [计算机] 编译
follow              : vt. 跟随,沿行,遵循,听得懂 vi. 跟着做,之后是 n. 跟随
storage             : n. 储存体, 储藏, 仓库, 保管费
aware               : adj. 知道的, 意识到的
installation        : n. 安装,装置, 军事驻地
insert              : n. 插入物 vt. &vi. 插入
typically           : adv. 代表性地, 作为特色地
normally            : adv. 正常地,通常地

Chapter-2-page-10.html
label               : n.标签； 称标记，符号； [建] 门或窗户上面的线脚 vt.贴标签于； 把…称为； 把…列为； [化]用放射性元素使（元素或原子等）示踪
future              : adj. 将来的 n. 将来,未来 n. 期货
offset              : n. 抵销,支派,平版印刷,弯管 vt. 弥补,抵销,用平版印刷 vi. 形成分支
recursion           : n. 循环, [数]递归
bases               :phrase. （base的复数）
please              : int. 请 vt. 取悦,请,合心意 vi. 取悦,愿意
comment             : n. 注释, 评论; 闲话 v. 注释, 评论
shell               : n. 贝壳,壳,外形 vt. &vi. 去壳,脱落,炮击,拾贝壳 n.[计算机] DOS命令 : 安装备用的COMMAND.COM文件, 并改变环境尺寸
subclass            : n.[生]亚纲,子集
require             : v. 需要, 要求
extract             : n. 榨出物,精华,摘录 vt. 拔出,榨出,摘录,提取,选取 [计算机] 提取
media               : n. (medium的复数)媒体,新闻媒介,传播媒介
appropriate         : adj. 适当的, 相称的 vt. 拨出(款项); 占用
remote              : adj. 偏僻的,遥远的,远程的，(感情等)距离很大 n. 远程操作
graph               : n. 图表,曲线图 v. 图表,用图表表示 vt. 以(曲线)图表示
fixed               : adj. 固定的,不变的,准备好的 v. 修理,使...固定,决定 vbl. 修理,使...固定,决定 [计算机] 固定的
grammar             : n. 语法
position            : n. 位置, 职位; 状态, 立场 vt. 安置, 决定...的位置
exactly             : adj. 完全的 adv. 恰好地,正好地,正确地,精确地,正是
generally           : adv. 一般地

Chapter-3-page-1.html
scope               : n. 能力，范围，眼界，机会，余地 vt. 仔细研究
contain             : vt. 包含,容纳,克制,抑制 vi. 自制
domain              : n. 领域 [计算机] 域
closed              : adj. 关闭的,  封闭的,  停业的 动词close的过去式和过去分词
management          : n. 管理(层),经营,处理
anything            : pron. 任何事
compute             : vt. 计算
removed             : adj. 离开的，间隔的 动词move的过去式和过去分词形式
signal              : n. 信号,导火线,动机 vt. 发信号,标志 vi. 发信号 adj. 显著的
understand          : vt. 理解, 闻知 vi. 理解, 相信, 表示同情
proper              : adj. 适当的,正确的,合适的,正当的,规矩的
manually            : adv.用手
recursive           : adj. 递归的，循环的
warning             : n. 警告, 预告, 通知 vbl. 警告, 注意, 通知
column              : n.纵队，列； 圆柱； 专栏
relative            : adj. 相对的,比较的,涉及到的 n. 亲属,同类事物,相关物
actual              : adj. 实际的,真实的
setter              : n. 安装者，嵌镶工人，排字工人，作曲者，给定器, 给定装置 n. 长毛猎犬
vector              : n. 向量,矢量,带菌者 vt. (无线电)导引 adj. 向量性的
connect             : vt. 连接,联通,使有联系 vi. 连接,接通

Chapter-3-page-2.html
constructor         : n. 建造者，施工人员，构造函数，构造器
necessary           : adj. 必需的,必要的,必然的 n. [pl.]必需品
complicated         : adj. 复杂的, 难懂的
supplied            :adj. 备有…的;有…提供的
floating            : adj.浮动的，流动性的，不固定的 动词float的现在分词形式
several             : adj. 几个,各自的 pron. 若干
especially          : adv. 特别,尤其
subtle              : adj. 微妙的,敏感的,精细的,狡诈的,不明显的
